Wonderware InTouch Edge HMI 2017 (Update 2),Windows 7 Ultimate SP1 x64
Wonderware Insight Publisher 4.0,Windows 7 Ultimate SP1 x64
Wonderware OPC UA Client 2014 P01,Windows Server 2008 R2 Standard SP1 x64
Citect Anywhere V1.0,Windows Server 2008 R2 Standard SP1 x64
Avantis PRiSM Client 2018 R1,Windows Server 2008 R2 Standard SP1 x64
Avantis PRiSM Server 2018 R1,Windows Server 2008 R2 Standard SP1 x64
Citect Historian 2016,Windows Server 2008 R2 Standard SP1 x64
SIMSCI TRISIM 3.0,Windows Server 2008 R2 Standard SP1 x64
SIMSCI TRISIM 2.2,Windows Server 2008 R2 Standard SP1 x64
SIMSCI TRISIM 2.2,Windows Server 2008 R2 Enterprise SP1 x64
SIMSCI DYNSIM 5.1,Windows Server 2008 R2 Enterprise SP1 x64
SIMSCI DYNSIM 5.2.1,Windows Server 2008 R2 Enterprise SP1 x64
SIMSCI DYNSIM 5.3.1,Windows Server 2008 R2 Enterprise SP1 x64
SIMSCI DYNSIM 5.3,Windows Server 2008 R2 Enterprise SP1 x64
SIMSCI TRISIM 3.0,Windows Server 2008 R2 Enterprise SP1 x64
SIMSCI Foxboro Evo Simulation 5.0,Windows Server 2008 R2 Enterprise SP1 x64
SIMSCI Foxboro Evo Simulation 6.0,Windows Server 2008 R2 Enterprise SP1 x64
SIMSCI DYNSIM 5.2,Windows Server 2008 R2 Enterprise SP1 x64
Citect Historian 2016,Windows Server 2008 R2 Enterprise SP1 x64
Citect SCADA 2016,Windows Server 2008 R2 Enterprise SP1 x64
SIMSCI TRISIM 3.1,Windows Server 2008 R2 Enterprise SP1 x64
SIMSCI DYNSIM 5.3.2,Windows Server 2008 R2 Enterprise SP1 x64
Avantis PRiSM Server 2018 R1,Windows Server 2008 R2 Enterprise SP1 x64
Avantis PRiSM Client 2018 R1,Windows Server 2008 R2 Enterprise SP1 x64
Citect Anywhere V1.0,Windows Server 2008 R2 Enterprise SP1 x64
Wonderware OPC UA Client 2014 P01,Windows Server 2008 R2 Enterprise SP1 x64
Citect SCADA 2018,Windows Server 2008 R2 Enterprise SP1 x64
Citect SCADA 2018 R2,Windows Server 2008 R2 Enterprise SP1 x64
SIMSCI TRISIM 2.2,Windows Server 2003 Enterprise SP1
SIMSCI TRISIM 2.2,Windows Server 2003 Enterprise SP2
SIMSCI DYNSIM 5.1,Windows Server 2003 Enterprise SP2
SIMSCI DYNSIM 5.2.1,Windows Server 2003 Enterprise SP2
SIMSCI DYNSIM 5.3,Windows Server 2003 Enterprise SP2
SIMSCI DYNSIM 5.2,Windows Server 2003 Enterprise SP2
Citect SCADA V7.20,Windows Server 2003 Enterprise SP2
SIMSCI DYNSIM 5.3,Windows Server 2003 Enterprise SP2 x64
